24-0000010974,02-0000176011,0,20000101,20160405,203660.1814,546433.0367,(주)대한신호,,6,2,1,4179935,1,2014-0101-103,24-010974,15702,1,2
24-0000008419,02-0000173760,135,20120330,20120330,203111.0655,546244.2771,.,0,6,1,1,,1,2014-0101-103,24-008419,13586,1,3
24-0000000437,02-0000042082,180,20120529,20120529,208546.1752,544795.8242,삼일안전시스템,,1,1,1,,1,2012-0101-019,24-000437,4070,1,2
24-0000000502,02-0000039659,180,20200616,20211101,205953.575,544645.8062,㈜신흥트레픽,,6,2,1,5125579,1,2021-0101-065,24-000502,3911,1,2
24-0000003724,02-0000137612,180,20100914,20220621,192168.7,544000.0562,양광시스템,,3,2,1,2144956,1,2010-0101-073,24-003724,10826,1,2
24-0000010502,02-0000155713,180,20181101,20181101,207787.5238,543550.1209,(주)대한신호,,1,2,1,5163262,1,2018-0101-118,24-010502,15230,1,2
24-0000019734,02-0000211915,,20221007,20221007,190824.3491,542946.2356,,,1,2,1,2122239,1,2021-1701-009,24-019734,24462,,4
24-0000012855,02-0000111513,180,,,197485.0817,553320.6741,,,1,2,1,3353612,1,,24-012855,17583,1,
24-0000001055,02-0000037178,180,20091221,20091221,205998.1221,544615.2869,정우신호테크,,6,1,1,,1,2014-0101-103,24-001055,3723,1,3
24-0000009256,02-0000006636,180,20000101,20141202,193112.9226,555637.5392,대한신호(주),,1,2,1,2367876,1,2015-0101-003,24-009256,13984,1,2
24-0000019774,02-0000210319,,20221125,20221125,190747.6125,542374.7766,(주)대한신호,,1,2,1,2121123,1,2022-0101-085,24-019774,24502,,1
24-0000003724,02-0000137612,180,20070601,20070601,192163.8709,544000.213,,,4,1,1,,1,2010-0101-073,24-003724,10827,1,2
24-0000001108,02-0000041406,180,20070601,20181101,206761.1634,543682.6773,(주)대한신호,,1,2,1,5143186,1,2018-0101-118,24-001108,4017,1,2
24-0000019773,02-0000210320,,20221125,20221125,190745.175,542354.9497,(주)대한신호,,1,2,1,2121124,1,2022-0101-085,24-019773,24501,,1
24-0000009066,02-0000100729,180,20130603,20130603,196660.6136,549173.0122,,,1,2,1,3234981,1,2013-0111-002,24-009066,13794,1,2
24-0000000576,02-0000042302,180,,,208537.4602,544333.019,,,4,1,1,,1,2012-0101-019,24-000576,4077,1,2
24-0000012372,02-0000183379,180,20161007,20220831,198122.3333,551727.4762,휴먼테크,,1,2,1,3269894,1,2022-9901-002,24-012372,17100,1,2
